dataset,depth,split,method,restricted_class,beta_p,gap,time,gamma,train_acc,test_acc,train_prec,test_prec
blsc,2,2,C-BinOCT,0,0.9,0,2.476305008,0,0.594,0.567,0.903,0.786
blsc,2,2,C-BinOCT,0,0.91,0,4.194931984,0,0.566,0.567,0.929,0.895
blsc,2,2,C-BinOCT,0,0.92,0,3.355854988,0,0.566,0.567,0.929,0.895
blsc,2,2,C-BinOCT,0,0.93,0,2.323719025,0,0.538,0.522,0.974,0.833
blsc,2,2,C-BinOCT,0,0.94,0,4.340451956,0,0.538,0.522,0.974,0.833
blsc,2,2,C-BinOCT,0,0.95,0,3.228013992,0,0.538,0.522,0.974,0.833
blsc,2,2,C-BinOCT,0,0.96,0,4.761978149,0,0.538,0.522,0.974,0.833
blsc,2,2,C-BinOCT,0,0.97,0,2.291365862,0,0.538,0.522,0.974,0.833
blsc,2,3,C-BinOCT,0,0.88,0,3.53780508,0,0.598,0.567,0.918,0.778
blsc,2,3,C-BinOCT,0,0.89,0,2.571398973,0,0.598,0.567,0.918,0.778
blsc,2,3,C-BinOCT,0,0.9,0,2.144265175,0,0.598,0.567,0.918,0.778
blsc,2,3,C-BinOCT,0,0.91,0,2.054019213,0,0.598,0.567,0.918,0.778
blsc,2,3,C-BinOCT,0,0.92,0,2.350093126,0,0.575,0.541,0.933,0.867
blsc,2,3,C-BinOCT,0,0.93,0,3.849890947,0,0.575,0.541,0.933,0.867
blsc,2,3,C-BinOCT,0,0.94,0,3.30043602,0,0.566,0.567,0.945,0.850
blsc,2,3,C-BinOCT,0,0.95,0,4.350563049,0,0.536,0.529,0.973,0.846
blsc,2,3,C-BinOCT,0,0.96,0,2.096163034,0,0.536,0.529,0.973,0.846
blsc,2,3,C-BinOCT,0,0.97,0,3.674892902,0,0.536,0.529,0.973,0.846
blsc,2,4,C-BinOCT,0,0.88,0,4.140712976,0,0.600,0.580,0.896,0.870
blsc,2,4,C-BinOCT,0,0.89,0,3.540902138,0,0.600,0.580,0.896,0.870
